0.02540973201 0.001015080721 1 0  0.09133805335 -0.2963322699 0.112800315 -0.3393045962  1.002369046 -0.7031978369
0.0257039573 0.001062483527 1 0  0.09474845976 -0.296992749 0.1164667085 -0.3389718831  1.002476096 -0.7025161982
0.02600159869 0.001111972146 1 0  0.09827809036 -0.2976553738 0.1202561557 -0.3386623859  1.002588272 -0.7018315792
0.02630268037 0.001163624809 1 0  0.1019307375 -0.2983216047 0.1241725385 -0.3383769691  1.002706409 -0.7011423111
0.02660724893 0.001217519981 1 0  0.1057102978 -0.2989928424 0.1282199174 -0.3381165266  1.002829552 -0.7004472017
0.0269153472 0.00127373694 1 0  0.1096208096 -0.2996706069 0.1324023753 -0.3378819823  1.002957582 -0.699744463
0.02722701058 0.001332357293 1 0  0.1136662886 -0.3003562987 0.1367242038 -0.3376744092  1.003092766 -0.6990326643
0.02754229121 0.001393461484 1 0  0.1178509071 -0.3010516167 0.141189456 -0.3374947011  1.003234148 -0.6983103752
0.02786120959 0.001457130536 1 0  0.1221788749 -0.3017580807 0.1458028108 -0.3373442888  1.003381252 -0.6975756884
0.02818382904 0.001523444196 1 0  0.1266545206 -0.3024775386 0.1505684555 -0.3372242153  1.00353539 -0.6968269348
0.02851017937 0.001592481509 1 0  0.1312820911 -0.3032115996 0.1554909348 -0.3371357322  1.00369668 -0.6960623264
0.02884031832 0.001664321288 1 0  0.1360660344 -0.3039621413 0.1605748683 -0.3370804191  1.003865838 -0.6952799559
0.02917427011 0.001739038038 1 0  0.141010806 -0.304731071 0.1658248603 -0.337059617  1.004043102 -0.6944781542
0.02951209061 0.001816705102 1 0  0.1461208165 -0.3055203855 0.1712455601 -0.3370749354  1.004228473 -0.6936546564
0.02985383198 0.001897391514 1 0  0.151400581 -0.306332171 0.1768415272 -0.337127924  1.004421592 -0.6928071976
0.03019952029 0.001981160836 1 0  0.1568544805 -0.3071684241 0.1826175004 -0.3372204006  1.004624844 -0.6919341087
0.03054920956 0.002068071393 1 0  0.1624870449 -0.3080314696 0.1885780245 -0.3373539746  1.004837275 -0.6910327673
0.03090294823 0.002158175921 1 0  0.168302536 -0.3089233935 0.1947278678 -0.3375307918  1.005058765 -0.6901012659
0.03126079217 0.002251517493 1 0  0.1743053645 -0.3098467588 0.201071471 -0.3377527297  1.005291104 -0.6891368628
0.03162278235 0.002348129638 1 0  0.1804996878 -0.3108037412 0.2076132745 -0.3380217552  1.00553453 -0.6881374121
0.03198894486 0.002448036801 1 0  0.186889559 -0.311796993 0.2143576592 -0.3383401632  1.005789042 -0.6871002913
0.03235937282 0.002551249228 1 0  0.1934789568 -0.3128289878 0.2213085741 -0.3387099802  1.006055593 -0.6860229969
0.03273406997 0.002657762729 1 0  0.2002714276 -0.3139024377 0.2284701765 -0.3391335607  1.006334305 -0.6849029064
0.03311310709 0.002767558908 1 0  0.2072705626 -0.3150196373 0.2358461171 -0.3396131992  1.006625652 -0.6837375164
0.03349654377 0.002880600514 1 0  0.2144793123 -0.3161833286 0.2434397936 -0.3401511014  1.00693047 -0.6825243235
0.03388441727 0.00299682864 1 0  0.2219005972 -0.3173961639 0.2512541413 -0.34074983  1.007249117 -0.6812605858
0.03427678347 0.003116163192 1 0  0.2295366526 -0.3186609149 0.2592918277 -0.3414116204  1.007582545 -0.6799436212
0.0346736908 0.003238503356 1 0  0.2373894155 -0.3199799657 0.2675551176 -0.3421390057  1.007930517 -0.6785710454
0.03507519141 0.003363718744 1 0  0.2454600483 -0.3213559985 0.2760454118 -0.3429341018  1.008294225 -0.6771402359
0.03548133746 0.003491649637 1 0  0.2537492812 -0.3227913082 0.2847637832 -0.3437992036  1.008675098 -0.6756489277
0.03589219227 0.003622112796 1 0  0.2622573376 -0.3242883086 0.2937103808 -0.3447364867  1.009071827 -0.674094975
0.03630780801 0.003754885634 1 0  0.2709832788 -0.3258492947 0.3028849959 -0.3457480073  1.00948596 -0.6724759936
0.03672822937 0.003889718093 1 0  0.2799254358 -0.327476114 0.3122859895 -0.3468355536  1.009917974 -0.6707903147
0.03715351969 0.004026324954 1 0  0.2890813947 -0.3291705251 0.3219112456 -0.3480007946  1.010369062 -0.6690362692
0.03758373857 0.004164386075 1 0  0.2984478474 -0.3309341073 0.3317574263 -0.349245131  1.010839224 -0.6672124267
0.03801893815 0.004303551745 1 0  0.3080199659 -0.3327679932 0.3418202996 -0.350569725  1.01132834 -0.6653177738
0.03845918179 0.004443431273 1 0  0.3177923262 -0.3346730471 0.3520943224 -0.3519752026  1.011837602 -0.6633517146
0.03890451044 0.00458360929 1 0  0.3277582526 -0.3366497755 0.3625730276 -0.3534620106  1.012366772 -0.6613138318
0.03935500979 0.004723634571 1 0  0.3379098773 -0.3386981785 0.3732486069 -0.355030328  1.012917042 -0.6592043638
0.03981072083 0.004863034934 1 0  0.3482379317 -0.3408176899 0.3841120303 -0.3566794395  1.013488173 -0.6570241451
0.04027170315 0.005001314916 1 0  0.3587324917 -0.3430075347 0.3951531351 -0.3584085405  1.014080405 -0.6547739506
